PWY-6684	aromatic  glucosinolate activation
PWY-5531	3,8-divinyl-chlorophyllide a biosynthesis II (anaerobic)
PWY-7159	3,8-divinyl-chlorophyllide a biosynthesis III (aerobic, light independent)
PWY-5526	bacteriochlorophyll a biosynthesis
PWY-7762	bacteriochlorophyll b biosynthesis
PWY-7759	bacteriochlorophyll c biosynthesis
PWY-7758	bacteriochlorophyll d biosynthesis
PWY-7760	bacteriochlorophyll e biosynthesis
PWY-8127	chlorophyll b2 biosynthesis
PWY-5917	phycocyanobilin biosynthesis
PWY-5915	phycoerythrobilin biosynthesis I
PWY-7580	phycoerythrobilin biosynthesis II
PWY-7579	phycourobilin biosynthesis
PWY-7578	phycoviolobilin biosynthesis
PWY-7170	phytochromobilin biosynthesis
PWY-5297	siroheme amide biosynthesis
PWY-5194	siroheme biosynthesis
PWY-5188	tetrapyrrole biosynthesis I (from glutamate)
PWY-5189	tetrapyrrole biosynthesis II (from glycine)
PWY-6146	Methanobacterium thermoautotrophicum biosynthetic metabolism
PWY-7369	thiamine triphosphate metabolism
PWY-6388	(S,S)-butanediol degradation
PWY-4261	glycerol degradation I
PWY-6131	glycerol degradation II
PWY-6130	glycerol degradation III
PWY-6952	glycerophosphodiester degradation
PWY-7013	(S)-propane-1,2-diol degradation
PWY-7616	methanol oxidation to carbon dioxide
PWY-6464	polyvinyl alcohol degradation
PWY-5386	methylglyoxal degradation I
PWY-5462	methylglyoxal degradation II
PWY-5453	methylglyoxal degradation III
PWY-5459	methylglyoxal degradation IV
PWY-5458	methylglyoxal degradation V
PWY-5456	methylglyoxal degradation VII
PWY-6535	4-aminobutanoate degradation I
PWY-6537	4-aminobutanoate degradation II
PWY-6536	4-aminobutanoate degradation III
PWY-6473	4-aminobutanoate degradation IV
PWY-5022	4-aminobutanoate degradation V
PWY-5694	allantoin degradation to glyoxylate I
PWY-5692	allantoin degradation to glyoxylate II
PWY-5705	allantoin degradation to glyoxylate III
PWY-5697	allantoin degradation to ureidoglycolate I (urea producing)
PWY-5698	allantoin degradation to ureidoglycolate II (ammonia producing)
PWY-7471	D-carnitine degradation I
PWY-7472	D-carnitine degradation II
PWY-3602	L-carnitine degradation II
PWY-3641	L-carnitine degradation III
PWY-3721	choline degradation II
PWY-7167	choline degradation III
PWY-7494	choline degradation IV
PWY-4722	creatinine degradation II
PWY-4741	creatinine degradation III
PWY-3661	glycine betaine degradation I
PWY-3661-1	glycine betaine degradation II (mammalian)
PWY-8108	glycine betaine degradation III
PWY-8109	proline betaine degradation II
PWY-6967	methylamine degradation I
PWY-6965	methylamine degradation II
PWY-6517	N-acetylglucosamine degradation II
PWY-6534	phenylethylamine degradation II
PWY-0	putrescine degradation III
PWY-2	putrescine degradation IV
PWY-3	putrescine degradation V
PWY-6117	spermine and spermidine degradation I
PWY-6440	spermine and spermidine degradation II
PWY-6441	spermine and spermidine degradation III
PWY-5703	urea degradation I
PWY-5704	urea degradation II
PWY-7431	aromatic biogenic amine degradation (bacteria)
PWY-7855	ectoine degradation
PWY-3621	gamma-butyrobetaine degradation
PWY-6181	histamine degradation
PWY-5736	isopropylamine degradation
PWY-6071	superpathway of phenylethylamine degradation
PWY-6962	superpathway of trimethylamine degradation
PWY-7085	triethylamine degradation
PWY-6968	trimethylamine degradation
PWY-1781	beta-alanine degradation II
PWY-8120	beta-alanine degradation III
PWY-6422	D-arginine degradation
PWY-7515	trans-3-hydroxy-L-proline degradation
PWY-5159	trans-4-hydroxy-L-proline degradation II
PWY-6334	L-dopa degradation I (mammalian)
PWY-8110	L-dopa degradation II (bacterial)
PWY-6344	L-ornithine degradation II (Stickland reaction)
PWY-8015	glycine degradation (Stickland reaction)
PWY-5742	L-arginine degradation IX (arginine:pyruvate transaminase pathway)
PWY-5024	L-arginine degradation XI
PWY-7523	L-arginine degradation XII
PWY-4002	L-asparagine degradation II
PWY-5329	L-cysteine degradation III
PWY-4321	L-glutamate degradation IV
PWY-5087	L-glutamate degradation VI (to pyruvate)
PWY-5088	L-glutamate degradation VIII (to propanoate)
PWY-5766	L-glutamate degradation X
PWY-5028	L-histidine degradation II
PWY-5030	L-histidine degradation III
PWY-5031	L-histidine degradation V
PWY-5078	L-isoleucine degradation II
PWY-5075	L-leucine degradation II
PWY-5076	L-leucine degradation III
PWY-7767	L-leucine degradation IV (Stickland reaction)
PWY-5280	L-lysine degradation IV
PWY-5324	L-lysine degradation IX
PWY-5283	L-lysine degradation V
PWY-5298	L-lysine degradation VI
PWY-5311	L-lysine degradation VII
PWY-5314	L-lysine degradation VIII
PWY-6328	L-lysine degradation X
PWY-5327	superpathway of L-lysine degradation
PWY-701	L-methionine degradation II
PWY-5082	L-methionine degradation III
PWY-5328	superpathway of L-methionine salvage and degradation
PWY-5079	L-phenylalanine degradation III
PWY-6318	L-phenylalanine degradation IV (mammalian, via side chain)
PWY-7158	L-phenylalanine degradation V
PWY-8014	L-phenylalanine degradation VI (Stickland reaction)
PWY-5437	L-threonine degradation I
PWY-5436	L-threonine degradation IV
PWY-5655	L-tryptophan degradation IX
PWY-5651	L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde
PWY-3162	L-tryptophan degradation V (side chain pathway)
PWY-5081	L-tryptophan degradation VIII (to tryptophol)
PWY-6307	L-tryptophan degradation X (mammalian, via tryptamine)
PWY-6309	L-tryptophan degradation XI (mammalian, via kynurenine)
PWY-6505	L-tryptophan degradation XII (Geobacillus)
PWY-8017	L-tryptophan degradation XIII (Stickland reaction)
PWY-5151	L-tyrosine degradation II
PWY-7514	L-tyrosine degradation IV (to 4-methylphenol)
PWY-8016	L-tyrosine degradation V (Stickland reaction)
PWY-5057	L-valine degradation II
PWY-6079	anthranilate degradation I (aerobic)
PWY-6077	anthranilate degradation II (aerobic)
PWY-6504	anthranilate degradation IV (aerobic)
PWY-2503	benzoate degradation I (aerobic)
PWY-283	benzoate degradation II (aerobic and anaerobic)
PWY-5430	meta cleavage pathway of aromatic compounds
PWY-1361	benzoyl-CoA degradation I (aerobic)
PWY-5431	aromatic compounds degradation via beta-ketoadipate
PWY-5415	catechol degradation I (meta-cleavage pathway)
PWY-5420	catechol degradation II (meta-cleavage pathway)
PWY-5417	catechol degradation III (ortho-cleavage pathway)
PWY-5419	catechol degradation to 2-hydroxypentadienoate II
PWY-6099	1,2,4,5-tetrachlorobenzene degradation
PWY-6091	1,2,4-trichlorobenzene degradation
PWY-6090	1,2-dichlorobenzene degradation
PWY-6081	1,3-dichlorobenzene degradation
PWY-6083	chlorobenzene degradation
PWY-6088	3-chlorobenzoate degradation I (via chlorocatechol)
PWY-6216	3-chlorobenzoate degradation II (via protocatechuate)
PWY-6228	3-chlorobenzoate degradation III (via gentisate)
PWY-6221	2-chlorobenzoate degradation
PWY-6217	3,4-dichlorobenzoate degradation
PWY-6215	4-chlorobenzoate degradation
PWY-6089	3-chlorocatechol degradation I (ortho)
PWY-6193	3-chlorocatechol degradation II (ortho)
PWY-6214	3-chlorocatechol degradation III (meta pathway)
PWY-6094	3,4,6-trichlorocatechol degradation
PWY-6084	3,5-dichlorocatechol degradation
PWY-6093	4,5-dichlorocatechol degradation
PWY-6087	4-chlorocatechol degradation
PWY-6103	3-chlorotoluene degradation I
PWY-6104	3-chlorotoluene degradation II
PWY-6190	2,4-dichlorotoluene degradation
PWY-6191	2,5-dichlorotoluene degradation
PWY-6192	3,4-dichlorotoluene degradation
PWY-6200	2,4,5-trichlorophenoxyacetate degradation
PWY-6178	2,4,6-trichlorophenol degradation
PWY-6085	2,4-dichlorophenoxyacetate degradation
PWY-7512	3,5,6-trichloro-2-pyridinol degradation
PWY-6086	4-chloro-2-methylphenoxyacetate degradation
PWY-6102	5-chloro-3-methyl-catechol degradation
PWY-7771	butachlor degradation
PWY-6197	chlorinated phenols degradation
PWY-6107	chlorosalicylate degradation
PWY-7823	chlorzoxazone degradation
PWY-7496	linuron degradation
PWY-8025	cyanuric acid degradation I
PWY-5169	cyanuric acid degradation II
PWY-5428	1,3-dimethylbenzene degradation to 3-methylbenzoate
PWY-5429	1,4-dimethylbenzene degradation to 4-methylbenzoate
PWY-1381	fluorene degradation II
PWY-7773	gamma-resorcylate degradation I
PWY-7772	gamma-resorcylate degradation II
PWY-6223	gentisate degradation I
PWY-7469	gentisate degradation II
PWY-2421	indole-3-acetate degradation I
PWY-8087	indole-3-acetate degradation II
PWY-1501	mandelate degradation I
PWY-6957	mandelate degradation to acetyl-CoA
PWY-5427	naphthalene degradation (aerobic)
PWY-7620	naphthalene degradation (anaerobic)
PWY-722	nicotinate degradation I
PWY-5033	nicotinate degradation II
PWY-5055	nicotinate degradation III
PWY-7681	1-chloro-2-nitrobenzene degradation
PWY-5642	2,4-dinitrotoluene degradation
PWY-5643	2,6-dinitrotoluene degradation
PWY-5645	4-chloronitrobenzene degradation
PWY-5637	nitrobenzene degradation I
PWY-5640	nitrobenzene degradation II
PWY-5647	2-nitrobenzoate degradation I
PWY-5648	2-nitrobenzoate degradation II
PWY-2381	4-nitrobenzoate degradation
PWY-5636	2-nitrophenol degradation
PWY-5487	4-nitrophenol degradation I
PWY-5488	4-nitrophenol degradation II
PWY-7627	2,4,6-trinitrophenol and 2,4-dinitrophenol degradation
PWY-5644	4-nitrotoluene degradation II
PWY-6051	2,4,6-trinitrotoluene degradation
PWY-5641	2-nitrotoluene degradation
PWY-7628	2,4-dinitroanisole degradation
PWY-7044	5-nitroanthranilate degradation
PWY-7403	tetramethylpyrazine degradation
PWY-5418	phenol degradation I (aerobic)
PWY-1341	phenylacetate degradation II (anaerobic)
PWY-8002	4-coumarate degradation (aerobic)
PWY-7046	4-coumarate degradation (anaerobic)
PWY-7214	baicalein degradation (hydrogen peroxide detoxification)
PWY-6343	ferulate degradation
PWY-7113	furcatin degradation
PWY-6667	resveratrol degradation
PWY-8003	trans-caffeate degradation (aerobic)
PWY-6080	4-ethylphenol degradation (anaerobic)
PWY-7757	bisphenol A degradation
PWY-6690	cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate
PWY-6336	protocatechuate degradation III (para-cleavage pathway)
PWY-6416	quinate degradation II
PWY-5727	atrazine degradation II
PWY-5731	atrazine degradation III
PWY-5724	superpathway of atrazine degradation
PWY-5726	deethylsimazine degradation
PWY-5170	melamine degradation
PWY-5171	N-cyclopropylmelamine degradation
PWY-6183	salicylate degradation I
PWY-6224	salicylate degradation II
PWY-6636	salicylate degradation III
PWY-6640	salicylate degradation IV
PWY-6419	shikimate degradation II
PWY-5165	4-toluenesulfonate degradation II
PWY-7521	3-(4-sulfophenyl)butanoate degradation
PWY-6041	4-sulfocatechol degradation
PWY-7703	2,4-xylenol degradation to protocatechuate
PWY-7700	4-methylphenol degradation to protocatechuate
PWY-5183	superpathway of aerobic toluene degradation
PWY-5180	toluene degradation I (aerobic) (via o-cresol)
PWY-5182	toluene degradation II (aerobic) (via 4-methylcatechol)
PWY-5181	toluene degradation III (aerobic) (via p-cresol)
PWY-5178	toluene degradation IV (aerobic) (via catechol)
PWY-81	toluene degradation to benzoyl-CoA (anaerobic)
PWY-5179	toluene degradation V (aerobic) (via toluene-cis-diol)
PWY-5184	toluene degradation VI (anaerobic)
PWY-5691	urate conversion to allantoin I
PWY-7394	urate conversion to allantoin II
PWY-7849	urate conversion to allantoin III
PWY-6338	superpathway of vanillin and vanillate degradation
PWY-7097	vanillin and vanillate degradation I
PWY-7098	vanillin and vanillate degradation II
PWY-7557	(-)-dehydrodiconiferyl alcohol degradation
PWY-7009	2,2'-dihydroxybiphenyl degradation
PWY-7480	2,3-dihydroxybenzoate degradation
PWY-7698	2,5-xylenol and 3,5-xylenol degradation
PWY-6210	2-aminophenol degradation
PWY-7008	2-hydroxybiphenyl degradation
PWY-7011	2-isopropylphenol degradation
PWY-7010	2-propylphenol degradation
PWY-721	3-methylquinoline degradation
PWY-7006	4-amino-3-hydroxybenzoate degradation
PWY-7081	4-aminophenol degradation
PWY-7002	4-hydroxyacetophenone degradation
PWY-6185	4-methylcatechol degradation (ortho cleavage)
PWY-6340	5,5'-dehydrodivanillate degradation
PWY-6533	aniline degradation
PWY-5450	benzene degradation
PWY-8111	carbaryl degradation
PWY-6550	carbazole degradation
PWY-6781	chlorogenic acid degradation
PWY-8065	chlorpyrifos degradation
PWY-681	dibenzothiophene desulfurization
PWY-7747	diphenyl ethers degradation
PWY-6532	diphenylamine degradation
PWY-7951	ellagic acid degradation to urolithins
PWY-481	ethylbenzene degradation (anaerobic)
PWY-7430	indole degradation to anthranil and anthranilate
PWY-7825	juglone degradation
PWY-142	m-xylene degradation (anaerobic)
PWY-5489	methyl parathion degradation
PWY-6184	methylsalicylate degradation
PWY-6956	naphthalene degradation to acetyl-CoA
PWY-5273	p-cumate degradation
PWY-5163	p-cumate degradation to 2-hydroxypentadienoate
PWY-5266	p-cymene degradation
PWY-741	p-cymene degradation to p-cumate
PWY-5490	paraoxon degradation
PWY-7982	pinoresinol degradation
PWY-6941	styrene degradation
PWY-6954	superpathway of aromatic compound degradation via 2-hydroxypentadienoate
PWY-2504	superpathway of aromatic compound degradation via 3-oxoadipate
PWY-5062	superpathway of nicotinate degradation
PWY-6182	superpathway of salicylate degradation
PWY-6339	syringate degradation
PWY-7795	terephthalate degradation
PWY-5392	reductive TCA cycle II
PWY-5743	3-hydroxypropanoate cycle
PWY-5789	3-hydroxypropanoate/4-hydroxybutanate cycle
PWY-5744	glyoxylate assimilation
PWY-7784	reductive acetyl coenzyme A pathway II (autotrophic methanogens)
PWY-7024	superpathway of the 3-hydroxypropanoate cycle
PWY-7854	crotonyl-CoA/ethylmalonyl-CoA/hydroxybutyryl-CoA cycle (engineered)
PWY-5493	reductive monocarboxylic acid cycle
PWY-1622	formaldehyde assimilation I (serine pathway)
PWY-1861	formaldehyde assimilation II (assimilatory RuMP Cycle)
PWY-1801	formaldehyde oxidation II (glutathione-dependent)
PWY-7908	formaldehyde oxidation V (bacillithiol-dependent)
PWY-1723	formaldehyde oxidation VI (H4MPT pathway)
PWY-7909	formaldehyde oxidation VII (THF pathway)
PWY-1641	methane oxidation to methanol I
PWY-6742	methane oxidation to methanol II
PWY-6523	nitrite-dependent anaerobic methane oxidation
PWY-1701	methanol and methylamine oxidation to formaldehyde
PWY-6966	methanol oxidation to formaldehyde I
PWY-6510	methanol oxidation to formaldehyde II
PWY-6509	methanol oxidation to formaldehyde III
PWY-5506	methanol oxidation to formaldehyde IV
PWY-7750	carbon monoxide oxidation to CO2
PWY-1722	formate assimilation into 5,10-methylenetetrahydrofolate
PWY-1881	formate oxidation to CO2
PWY-1882	superpathway of C1 compounds oxidation to CO2
PWY-7778	2-methylpropene degradation
PWY-7776	ethene and chloroethene degradation
PWY-7777	isoprene degradation
PWY-5534	propene degradation
PWY-6822	iota-carrageenan degradation
PWY-6821	kappa-carrageenan degradation
PWY-6817	lambda-carrageenan degradation
PWY-6784	cellulose and hemicellulose degradation (cellulolosome)
PWY-6805	cellulose degradation I (cellulosome)
PWY-6788	cellulose degradation II (fungi)
PWY-7118	chitin deacetylation
PWY-6855	chitin degradation I (archaea)
PWY-6902	chitin degradation II (Vibrio)
PWY-7822	chitin degradation III (Serratia)
PWY-6906	chitin derivatives degradation
PWY-6717	(1,4)-beta-D-xylan degradation
PWY-6573	chondroitin sulfate degradation (metazoa)
PWY-6576	dermatan sulfate degradation (metazoa)
PWY-5941	glycogen degradation II
PWY-1081	homogalacturonan degradation
PWY-6790	L-arabinan degradation
PWY-7246	pectin degradation I
PWY-842	starch degradation I
PWY-6791	xyloglucan degradation I (endoglucanase)
PWY-7662	glycogen degradation III (via anhydrofructose)
PWY-6572	chondroitin sulfate degradation I (bacterial)
PWY-7646	dermatan sulfate degradation I (bacterial)
PWY-7651	heparan sulfate degradation
PWY-7644	heparin degradation
PWY-7645	hyaluronan degradation
PWY-7248	pectin degradation II
PWY-6769	rhamnogalacturonan type I degradation I
PWY-6771	rhamnogalacturonan type I degradation II (bacteria)
PWY-6724	starch degradation II
PWY-6731	starch degradation III
PWY-6735	starch degradation IV
PWY-6737	starch degradation V
PWY-6789	(1,3)-beta-D-xylan degradation
PWY-6807	xyloglucan degradation II (exoglucanase)
PWY-6812	xyloglucan degradation III (cellobiohydrolase)
PWY-6816	agarose degradation
PWY-6986	alginate degradation
PWY-7456	beta-(1,4)-mannan degradation
PWY-7828	cyclobis-(1-&gt;6)-alpha-nigerosyl degradation
PWY-862	fructan degradation
PWY-6827	gellan degradation
PWY-6813	glucuronoarabinoxylan degradation
PWY-8006	plant arabinogalactan type II degradation
PWY-6815	porphyran degradation
PWY-7647	ulvan degradation
PWY-7774	propane degradation I
PWY-7775	propane degradation II
PWY-8060	2-deoxy-D-ribose degradation I
PWY-8058	2-deoxy-D-ribose degradation II
PWY-8089	D-apiose degradation I
PWY-8093	D-apiose degradation II (to D-apionate)
PWY-5519	D-arabinose degradation III
PWY-8004	Entner-Doudoroff pathway I
PWY-2221	Entner-Doudoroff pathway III (semi-phosphorylative)
PWY-6317	D-galactose degradation I (Leloir pathway)
PWY-6693	D-galactose degradation IV
PWY-7568	L-galactose degradation
PWY-5515	L-arabinose degradation II
PWY-5517	L-arabinose degradation III
PWY-7295	L-arabinose degradation IV
PWY-6713	L-rhamnose degradation II
PWY-6714	L-rhamnose degradation III
PWY-7581	N-acetylneuraminate and N-acetylmannosamine degradation II
PWY-3801	sucrose degradation II (sucrose synthase)
PWY-621	sucrose degradation III (sucrose invertase)
PWY-5384	sucrose degradation IV (sucrose phosphorylase)
PWY-7345	superpathway of anaerobic sucrose degradation
PWY-2721	trehalose degradation III
PWY-2722	trehalose degradation IV
PWY-2723	trehalose degradation V
PWY-5516	D-xylose degradation II
PWY-6760	D-xylose degradation III
PWY-7294	D-xylose degradation IV
PWY-7178	D-xylose degradation to ethylene glycol (engineered)
PWY-8020	D-xylose degradation V
PWY-6992	1,5-anhydrofructose degradation
PWY-7180	2-deoxy-alpha-D-ribose 1-phosphate degradation
PWY-8121	2-deoxy-D-glucose 6-phosphate degradation
PWY-7562	3,6-anhydro-alpha-L-galactopyranose degradation
PWY-7395	D-galactosamine and N-acetyl-D-galactosamine degradation
PWY-7459	kojibiose degradation
PWY-7130	L-glucose degradation
PWY-6778	laminaribiose degradation
PWY-3861	mannitol degradation II
PWY-7077	N-acetyl-D-galactosamine degradation
PWY-6527	stachyose degradation
PWY-6901	superpathway of glucose and xylose degradation
PWY-5257	superpathway of pentose and pentitol degradation
PWY-6028	acetoin degradation
PWY-7586	beta-1,4-D-mannosyl-N-acetyl-D-glucosamine degradation
PWY-7780	butane degradation
PWY-7779	methyl tert-butyl ether degradation
PWY-7685	L-malate degradation I
PWY-7686	L-malate degradation II
PWY-5130	2-oxobutanoate degradation I
PWY-7754	bile acid 7alpha-dehydroxylation
PWY-8134	bile acid 7beta-dehydroxylation
PWY-8135	bile acids deconjugation
PWY-6518	bile acids epimerization
PWY-8091	D-apionate degradation I (xylose isomerase family decarboxylase)
PWY-8090	D-apionate degradation II (RLP decarboxylase)
PWY-8092	D-apionate degradation III (RLP transcarboxylase/hydrolase)
PWY-5096	pyruvate fermentation to acetate and alanine
PWY-5100	pyruvate fermentation to acetate and lactate II
PWY-5482	pyruvate fermentation to acetate II
PWY-5483	pyruvate fermentation to acetate III
PWY-5485	pyruvate fermentation to acetate IV
PWY-5537	pyruvate fermentation to acetate V
PWY-5538	pyruvate fermentation to acetate VI
PWY-5600	pyruvate fermentation to acetate VII
PWY-5768	pyruvate fermentation to acetate VIII
PWY-5535	acetate and ATP formation from acetyl-CoA II
PWY-5536	acetate formation from acetyl-CoA (succinate)
PWY-804	glycolate degradation II
PWY-6649	glycolate and glyoxylate degradation III
PWY-6961	L-ascorbate degradation II (bacterial, aerobic)
PWY-6960	L-ascorbate degradation III
PWY-6704	L-ascorbate degradation IV
PWY-6959	L-ascorbate degradation V
PWY-5794	malonate degradation I (biotin-independent)
PWY-6060	malonate degradation II (biotin-dependent)
PWY-6694	oxalate degradation I
PWY-6695	oxalate degradation II
PWY-6696	oxalate degradation III
PWY-6697	oxalate degradation IV
PWY-6698	oxalate degradation V
PWY-7985	oxalate degradation VI
PWY-5747	2-methylcitrate cycle II
PWY-7574	propanoyl-CoA degradation II
PWY-6497	D-galactarate degradation II
PWY-6486	D-galacturonate degradation II
PWY-6491	D-galacturonate degradation III
PWY-6499	D-glucarate degradation II
PWY-7247	beta-D-glucuronide and D-glucuronate degradation
PWY-5525	D-glucuronate degradation I
PWY-6501	D-glucuronate degradation II
PWY-7242	D-fructuronate degradation
PWY-7566	L-gulonate degradation
PWY-7516	L-lyxonate degradation
PWY-5654	2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate
PWY-5652	2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA
PWY-5162	2-hydroxypenta-2,4-dienoate degradation
PWY-2361	3-oxoadipate degradation
PWY-7948	4-oxopentanoate degradation
PWY-6373	acrylate degradation
PWY-6038	citrate degradation
PWY-301	cyclohexane-1-carboxylate degradation (anaerobic)
PWY-7872	D-erythronate degradation I
PWY-7873	D-erythronate degradation II
PWY-7310	D-glucosaminate degradation
PWY-7871	D-threonate degradation
PWY-5177	glutaryl-CoA degradation
PWY-5749	itaconate degradation
PWY-7874	L-threonate degradation
PWY-5074	mevalonate degradation
PWY-6021	nitrilotriacetate degradation
PWY-8085	picolinate degradation
PWY-7425	2-chloroacrylate degradation I
PWY-7428	2-chloroacrylate degradation II
PWY-5370	carbon tetrachloride degradation I
PWY-5372	carbon tetrachloride degradation II
PWY-5822	trichloroethene degradation
PWY-5098	chlorophyll a degradation I
PWY-6927	chlorophyll a degradation II
PWY-7164	chlorophyll a degradation III
PWY-5874	heme degradation I
PWY-7845	heme degradation II
PWY-7844	heme degradation III
PWY-7843	heme degradation IV
PWY-7846	heme degradation V
PWY-7847	heme degradation VI
PWY-7848	heme degradation VII
PWY-6370	ascorbate recycling (cytosolic)
PWY-7559	glutathione degradation (DUG pathway - yeast)
PWY-5499	vitamin B6 degradation
PWY-7308	acrylonitrile degradation I
PWY-7309	acrylonitrile degradation II
PWY-1164	carbon disulfide oxidation I (anaerobic)
PWY-5336	carbon disulfide oxidation II (aerobic)
PWY-7926	carbon disulfide oxidation III (metazoa)
PWY-6993	nicotine degradation II (pyrrolidine pathway)
PWY-7128	nicotine degradation III (VPP pathway)
PWY-743	thiocyanate degradation II
PWY-723	alkylnitronates degradation
PWY-6377	alpha-tocopherol degradation
PWY-4061	glutathione-mediated detoxification I
PWY-7582	mercaptosuccinate degradation
PWY-7978	N-methylpyrrolidone degradation
PWY-5355	nitroethane degradation
PWY-8000	vitamin K degradation
PWY-5451	acetone degradation I (to methylglyoxal)
PWY-5533	acetone degradation II (to acetoacetate)
PWY-7466	acetone degradation III (to propane-1,2-diol)
PWY-7119	ceramide and sphingolipid recycling and degradation (yeast)
PWY-6483	ceramide degradation (generic)
PWY-7337	10-cis-heptadecenoyl-CoA degradation (yeast)
PWY-7339	10-trans-heptadecenoyl-CoA degradation (MFE-dependent, yeast)
PWY-7338	10-trans-heptadecenoyl-CoA degradation (reductase-dependent, yeast)
PWY-7340	9-cis, 11-trans-octadecadienoyl-CoA degradation (isomerase-dependent, yeast)
PWY-2724	alkane oxidation
PWY-2501	fatty acid alpha-oxidation I (plants)
PWY-5136	fatty acid beta-oxidation II (plant peroxisome)
PWY-5137	fatty acid beta-oxidation III (unsaturated, odd number)
PWY-5138	fatty acid beta-oxidation IV (unsaturated, even number)
PWY-6837	fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)
PWY-7288	fatty acid beta-oxidation VII (yeast peroxisome)
PWY-7291	oleate beta-oxidation (isomerase-dependent, yeast)
PWY-7307	oleate beta-oxidation (reductase-dependent, yeast)
PWY-7292	oleate beta-oxidation (thioesterase-dependent, yeast)
PWY-6945	cholesterol degradation to androstenedione I (cholesterol oxidase)
PWY-6946	cholesterol degradation to androstenedione II (cholesterol dehydrogenase)
PWY-6928	superpathway of cholesterol degradation I (cholesterol oxidase)
PWY-6947	superpathway of cholesterol degradation II (cholesterol dehydrogenase)
PWY-6944	androstenedione degradation
PWY-6948	sitosterol degradation to androstenedione
PWY-6937	superpathway of testosterone and androsterone degradation
PWY-6943	testosterone and androsterone degradation to androstendione
PWY-6368	3-phosphoinositide degradation
PWY-8056	anandamide lipoxygenation
PWY-6111	mitochondrial L-carnitine shuttle
PWY-7367	phosphatidylcholine resynthesis via glycerophosphocholine
PWY-7366	phosphatidylglycerol degradation
PWY-7783	plasmalogen degradation
PWY-6398	melatonin degradation I
PWY-6399	melatonin degradation II
PWY-6400	melatonin degradation III
PWY-6402	superpathway of melatonin degradation
PWY-7642	abscisic acid degradation to 7'-hydroxyabscisate
PWY-7640	abscisic acid degradation to neophaseic acid
PWY-5271	abscisic acid degradation to phaseic acid
PWY-2841	cytokinins degradation
PWY-6260	thyroid hormone metabolism I (via deiodination)
PWY-6261	thyroid hormone metabolism II (via conjugation and/or degradation)
PWY-6342	noradrenaline and adrenaline degradation
PWY-6313	serotonin degradation
PWY-6688	thyronamine and iodothyronamine metabolism
PWY-6692	Fe(II) oxidation
PWY-5934	iron reduction and absorption
PWY-6591	manganese oxidation I
PWY-6592	manganese oxidation II
PWY-6963	ammonia assimilation cycle I
PWY-6964	ammonia assimilation cycle II
PWY-3282	superpathway of ammonia assimilation (plants)
PWY-2242	ammonia oxidation III
PWY-7082	ammonia oxidation IV (autotrophic ammonia oxidizers)
PWY-7084	nitrifier denitrification
PWY-6748	nitrate reduction VII (denitrification)
PWY-381	nitrate reduction II (assimilatory)
PWY-5674	nitrate reduction IV (dissimilatory)
PWY-5675	nitrate reduction V (assimilatory)
PWY-7576	nitrogen fixation II (flavodoxin)
PWY-1541	superpathway of taurine degradation
PWY-1263	taurine degradation I
PWY-1264	taurine degradation II
PWY-7387	hypotaurine degradation
PWY-7683	nitrite reduction (hemoglobin)
PWY-4984	urea cycle
PWY-6832	2-aminoethylphosphonate degradation II
PWY-7447	2-aminoethylphosphonate degradation III
PWY-7804	glyphosate degradation I
PWY-7806	glyphosate degradation II
PWY-7807	glyphosate degradation III
PWY-7399	methylphosphonate degradation II
PWY-8066	methylphosphonate degradation III
PWY-8124	(2-trimethylamino)ethylphosphonate degradation
PWY-7805	(aminomethyl)phosphonate degradation
PWY-5491	diethylphosphate degradation
PWY-6348	phosphate acquisition
PWY-6931	seleno-amino acid detoxification and volatilization I
PWY-6935	seleno-amino acid detoxification and volatilization II
PWY-6933	seleno-amino acid detoxification and volatilization III
PWY-6932	selenate reduction
PWY-6683	assimilatory sulfate reduction III
PWY-6047	dimethyl sulfide degradation I
PWY-6059	dimethyl sulfide degradation II (oxidation)
PWY-6057	dimethyl sulfide degradation III (oxidation)
PWY-6046	dimethylsulfoniopropanoate degradation I (cleavage)
PWY-6056	dimethylsulfoniopropanoate degradation II (cleavage)
PWY-6052	dimethylsulfoniopropanoate degradation III (demethylation)
PWY-6049	superpathway of dimethylsulfoniopropanoate degradation
PWY-6048	methylthiopropanoate degradation I (cleavage)
PWY-6045	methylthiopropanonate degradation II (demethylation)
PWY-5274	sulfide oxidation II (flavocytochrome c)
PWY-5285	sulfide oxidation III (to sulfite)
PWY-7927	sulfide oxidation IV (mitochondria)
PWY-5294	superpathway of sulfide oxidation (Acidithiobacillus ferrooxidans)
PWY-6676	superpathway of sulfide oxidation (phototrophic sulfur bacteria)
PWY-5335	superpathway of sulfide oxidation (Starkeya novella)
PWY-5276	sulfite oxidation I
PWY-5279	sulfite oxidation II
PWY-5278	sulfite oxidation III
PWY-5326	sulfite oxidation IV
PWY-7457	sulfite oxidation V (SoeABC)
PWY-5308	superpathway of sulfur metabolism (Desulfocapsa sulfoexigens)
