4.99.1.M4	phenylacetonitrile-specifying protein	RXN-12025+RXN-8136+RXNQT-4351
4.6.1.12	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	RXN0-302
1.17.7.3	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase	RXN-15878
1.17.7.4	isopentenyl-diphosphate:NAD(P)+ oxidoreductase	ISPH2-RXN+RXN0-884
3.5.1.9	kynurenine formamidase	ARYLFORMAMIDASE-RXN
2.1.1.M8	3-hydroxy-D-kynurenine methyltransferase	RXN-17068
3.7.1.-	3-hydroxy-4-methyl-D-kynurenine hydrolase	RXN-17069+RXN-668+RXN-13157+RXN-17615
2.1.1.M26	3-hydroxy-L-kynurenine methyltransferase	RXN-17499
3.7.1.M2	3-hydroxy-4-methyl-L-kynurenine hydrolase	RXN-17500
4.2.3.26	linalool synthase	4.2.3.26-RXN
4.2.3.25	(S)-linalool synthase	4.2.3.25-RXN
2.4.1.M28	furaneol glucosyltransferase	RXN-9577
3.2.1.149	benzyl 6-O-beta-L-apiofuranosyl-beta-D-glucopyranoside glucosidase (Yabukita)	RXN-13696+RXN-13694+RXN-13693+RXN-13692+RXN-13691
4.2.3.86	7-epi-alpha-selinene synthase	RXN-8609
4.2.3.73	valencene synthase	RXN-8608
2.3.1.184	Acyl-homoserine-lactone synthase	2.3.1.184-RXN
4.4.1.21	S-ribosylhomocysteine lyase	RIBOSYLHOMOCYSTEINASE-RXN
1.14.99.50	hercynine oxygenase (gamma-glutamyl-hercynylcysteine sulfoxide-forming)	RXN-14430
3.5.1.118	gamma-glutamyl-hercynylcysteine sulfoxide hydrolase	RXN-14429
1.14.99.51	hercynylcysteine S-oxide synthase	RXN-15801
1.13.11.58	lionoleate:O2 9S-oxidoreductase	RXN-8495+RXN-8497
4.2.1.92	9,10-EOT synthase	RXN-8500+RXN-8499+RXN1F-19
4.2.1.M17	9-HPOTE lyase	RXN-8503+RXN-8502
5.3.99.6	allene oxide cyclase	ALLENE-OXIDE-CYCLASE-RXN
1.3.1.42	12-oxophytodienoate reductase	12-OXOPHYTODIENOATE-REDUCTASE-RXN
1.3.3.6	OPC8 acyl-CoA oxidase	RXN-10696+RXN-10706+RXN-10707+RXN-12669+RXN-11026
1.13.11.12	linoleate 13S-lipoxygenase	LIPOXYGENASE-RXN+RXN-1321
4.2.1.M17/4.2.1.M19	13-HPOTE lyase	RXN-1345+HYDROHEX-RXN
1.1.1.2	trans-2-hexenal reductase	RXN-12299+ENZRXN-201-RXN
2.3.1.195	(Z)-3-hexen-1-ol acetyltransferase	RXN-11852
4.2.1.M18	etheroleate synthase	RXN-8504
4.2.1.121	colnelenate synthase	RXN-8498+RXN-8496
1.13.11.34	(15R)-hydroxyicosapentaenoate 5-lipoxygenase	RXN-20580+RXN-20581+RXN66-503+RXN66-504+RXN66-499+RXN66-500+RXN66-495+RXN-20582+RXN-8647+ARACHIDONATE-5-LIPOXYGENASE-RXN+RXN-20578+RXN-20579+RXN66-512+RXN66-513+RXN66-511+RXN66-514+RXN-20571
1.14.14.32	17-alpha-hydroxypregnenolone 17,20-lyase	RXN66-341+RXN-21976
1.1.1.145	DHA dehydrogenase	RXN66-342+RXN66-353+RXN66-350+RXN-12747
5.3.3.1	androstenedione isomerase	RXN66-362+RXN66-354+RXN66-351+RXN-12694
1.1.1.64	Aldo-keto reductase family 1 member C3	1.1.1.64-RXN+RXN-21978
3.3.2.6	resolvin E1 synthase	RXN66-496+LEUKOTRIENE-A4-HYDROLASE-RXN
1.14.14.19	progesterone 17-hydroxylase	RXN66-355+RXN66-340
1.1.1.210	5-alpha-androstan-3beta,17beta-diol Delta-isomerase	1.1.1.210-RXN
1.14.19.15	(11Z)-hexadecenoyl-CoA conjugase	RXN-15113
1.14.99.1	prostaglandin G/H synthase	PROSTAGLANDIN-ENDOPEROXIDE-SYNTHASE-RXN
5.3.99.5	thromboxane-A synthase	THROMBOXANE-A-SYNTHASE-RXN
5.3.99.3	prostaglandin E synthase	PROSTAGLANDIN-E-SYNTHASE-RXN
5.3.99.2	prostaglandin D synthase	PROSTAGLANDIN-D-SYNTHASE-RXN
5.3.99.4	prostacyclin synthase	PROSTAGLANDIN-I-SYNTHASE-RXN
4.1.1.28	dopa decarboxylase	RXN66-221+RXN3DJ-170
1.14.17.1	dopamine beta-monooxygenase	DOPAMINE-BETA-MONOOXYGENASE-RXN
2.1.1.28	noradrenaline N-methyltransferase	RXN66-241
1.14.19.21	cholesterol 7,8-dehydrogenase	RXN-16379
1.14.15.M6	3-dehydro-2,22-dideoxyecdysone 22-hydroxylase	RXN-14681
1.14.15.-	3-dehydro-2-deoxyecdysone 2-hydroxylase	RXN-14682+RXN-14678+RXN-14679+RXN66-356+RXN66-358+RXN-20295+RXN-20302+R424-RXN+RXN-15975+RXN-20171
1.14.99.22	ecdysone 20-monooxygenase	RXN-18799
1.1.1.62	estradiol-17beta:NAD(P)+ 17-oxidoreductase	ESTRADIOL-17-BETA-DEHYDROGENASE-RXN
1.14.15.4	11-deoxycortisol oxidase	RXN66-357+RXN66-359
4.2.3.15	myrcene synthase	RXN-5110
1.14.14.31	(4R)-(-)-ipsdienol synthase	RXN-15040+RXN-15039
1.1.1.216	farnesol dehydrogenase	FARNESOL-DEHYDROGENASE-RXN
1.2.1.94	farnesal aldehyde	RXN-11619
2.1.1.325	farnesoate methyltransferase	RXN-11587
1.14.14.127	farnesyl methyl ester epoxidase	RXN-11621
4.4.1.20	leukotriene C4 synthase	LEUKOTRIENE-C4-SYNTHASE-RXN
2.3.2.2	leukotriene-C4 gamma-glutamyl transferase	RXN66-336+RXN-6601
3.4.13.19	LTE4 dipeptidase	RXN66-337+RXN-15682
1.13.11.-	leukotriene A4 15-lipoxygenase	RXN-20577+RXN-16813+RXN-16807+RXN-9819+RXN-15820+RXN-13170+R607-RXN+RXN-13154+R604-RXN+METHYLGALLATE-RXN+RXN-10882+RXN-961+RXN-7883+RXN-7884+RXN-7886
1.14.15.5	Cytochrome P450 11B2, mitochondrial	RXN66-360+RXN66-361
1.14.16.4	tryptophan 5-hydroxylase	TRYPTOPHAN-5-MONOOXYGENASE-RXN
2.3.1.87	serotonin N-acetyltransferase	RXN3DJ-35528
2.1.1.4	hydroxyindole O-methyltransferase	ACETYLSEROTONIN-O-METHYLTRANSFERASE-RXN
1.11.1.8	[thyroglobulin]-3,5-diiodotyrosine synthase	RXN-10469+RXN-10471+RXN-10470
3.1.1.ad	2-arachidonoyl-diacylglycerol sn-1 acylhydrolase	RXN-20522
1.1.3.-	2-hydroxy-2-(1H-indol-3-yl)acetonitrile oxidase	RXN-20042+RXN1YI0-15+RXN-13166
1.14.14.165	indole-3-carbonyl nitrile 4-hydroxylase	RXN-20040
2.3.1.M35	4-coumaroyl-CoA:serotonin coumaroyltransferase	RXN-8711+RXN-8710+RXN-8709
4.1.1.25	tyrosine decarboxylase	TYROSINE-DECARBOXYLASE-RXN
1.2.3.7	(indol-3-yl)acetaldehyde:oxygen oxidoreductase	INDOLE-3-ACETALDEHYDE-OXIDASE-RXN
2.3.1.M34	spermidine:caffeoyl-CoA N-acyltransferase	RXN-11258+RXN-11259
2.3.1.dt	4-coumaroyl-CoA:4-hydroxyanthranilate N-hydroxycinnamoyltransferase	RXN-21512+RXN-21513
2.3.1.98	chlorogenate-dependent caffeoyltransferase	2.3.1.98-RXN
2.1.1.279	SAM:t-anol O-methyltransferase	RXN-9312
1.3.1.M26	styrylpyrone 5,6-reductase	RXN-20965
2.1.1.M66	styrylpyrone 4-O-methyltransferase	RXN-20966
2.1.1.267	myricetin 3'-O-methyltransferase	RXN-8451+RXN-8452
2.1.1.42	quercetin 3'-O-methyltransferase	RXN-8262
2.1.1.88	gossypetin 8-O-methyltransferase	2.1.1.88-RXN
2.1.1.M67	yangonin synthase	RXN-21009
2.3.1.84	propanoyl-CoA:ethanol O-propanoyltransferase	RXN-18670+RXN-18671+RXN-18668+RXN-18667+RXN-12362
2.3.1.208	4-hydroxycoumarin synthase	RXN-11171
6.2.1.al	3-amino-5-hydroxybenzoate-[ansamycin PKS] ligase	RXN-20329
6.2.1.54	D-alanine--[D-alanyl carrier protein] ligase	RXN-18014
2.3.1.M77	ansatrienin polyketide synthase complex	RXN-20327
2.3.1.M78	protoansatrienin amide synthase	RXN-20328
2.1.1.M52	protoansatrienin 3-O-methyltransferase	RXN-20425
2.3.2.v	protoansatrienin D-alanyltransferase	RXN-20415
2.3.1.dp	trienomycin B synthase	RXN-20431+RXN-20424
2.3.1.74	aromatic polyketide synthase	NARINGENIN-CHALCONE-SYNTHASE-RXN
6.3.2.-	aspyridone synthetase	RXN-15918+RXN-15898+RXN-15895+RXN-16693+RXN-16699+RXN-16739+RXN-16960+RXN-16962+RXN-16961+RXN-15883+RXN-11609+RXN-11610+RXN-11612+RXN-11614+RXN-11611+RXN-11613+RXN-19516+RXN-19517+RXN-11011+RXN-19507+RXN-19506+RXN-19505+RXN-19510+RXN-19511+RXN-19512+RXN-15951+RXN-10680+RXN-10681+RXN-10678+RXN-11008+RXN-11009+RXN-11126+RXN-684+RXN-19518+RXN-10989
1.14.19.-	preaspyridone A oxidase	RXN-15919+RXN-16927+RXN-16925+RXN-16536+RXN-16537+RXN-20245+RXN-15886+RXN-16575+RXN-17003+RXN-11795+RXN-11793+RXN-21516+RXN-16173+RXN-16171+RXN-779+RXN-16172+RXN18C3-5+RXN-16125+RXN-16128
4.1.1.M15	malonyl-[acp] decarboxylase	RXN-20480+RXN-20499
2.3.3.M3	BryU:BryA acetyltransferase	RXN-20464+RXN-20469
4.2.1.M29	3-acetyl-(3,5R,7R,8R)-3,5,7,8-tetrahydroxynonanoyl-[PKS] dehydratase	RXN-20465+RXN-20470+RXN-20500
5.3.3.-	beta-branch isomerase	RXN-20467
1.14.13.M73	7-(3-amino-5-hydroxyphenyl)-7-hydroxy-2,6-dimethyl-3,5-dioxoheptanoyl-[chaxamycin PKS] 2-hydroxylase	RXN-20289+RXN-20307+RXN-20270+RXN-20247
2.3.1.M74	prochaxamycin amide synthase	RXN-20286
2.3.1.281	5-hydroxydodecatetraenal polyketide synthase	RXN-18628
2.6.1.115	5-hydroxydodecatetraenal 1-aminotransferase	RXN-18638
2.3.1.218	feruloyl-diketide-CoA synthase	RXN-11221
1.3.1.-	dechloro-dehydrogriseofulvin reductase	RXN-16546+RXN-16539+RXN-9495+RXN5F9-56+RXN-12281+RXN-12296+RXN-12295+RXN-12293+RXN-12292+RXN-4229+RXN-711+RXN-19796
1.13.12.-	anthrone oxygenase	RXN-21589+RXN-15586+RXN-8236
2.3.1.233	1,3,6,8-tetrahydroxynaphthalene synthase	RXN-9931
1.14.19.69	3,8'-biflaviolin synthase	RXN-9933+RXN-9932
2.3.1.M75	pronaphthomycin amide synthase	RXN-20304
1.14.19.M25	naphthomycin E chlorinase	RXN-20303
1.14.13.M79	7-methylmellein hydroxylase	RXN-21097
6.3.1.M6	L-phenylalanine--7-carboxymellein ligase	RXN-21100
1.21.99.M6	ochratoxin halogenase	RXN-21095
2.3.1.212	4-hydroxybenzalacetone synthase	RXN-8458
2.3.1.M72	rifamycin amide synthase	RXN-9604
2.1.1.315	27-O-demethyl-rifamycin SV methyltransferase	RXN-9611
2.4.2.1	chloro-purine nucleoside phosphorylase	RXN-11715+RXN-11743+ADENPHOSPHOR-RXN+DEOXYINOPHOSPHOR-RXN+DEOXYGUANPHOSPHOR-RXN+DEOXYADENPHOSPHOR-RXN+RXN-7001+XANTHOSINEPHOSPHORY-RXN
2.3.1.M73	prostreptovaricin synthase	RXN-20258
1.14.15.M14	streptovaricin C 20-hydroxylase	RXN-20266
2.6.1.80	nicotianamine transferase	2.6.1.80-RXN
1.1.1.285	3''-deamino-3''-oxonicotianamine reductase	1.1.1.285-RXN
1.14.13.M66	histamine N-monooxygenase	RXN-19438
3.3.2.-	2,3-dihydroxybenzoyl-L-threonine cyclase	RXN-19488+RXN-19437
2.3.1.102	N6-hydroxylysine N-acetyltransferase	N6-HYDROXYLYSINE-O-ACETYLTRANSFERASE-RXN
6.3.2.38	citrate:N6-acetyl-N6-hydroxy-L-lysine ligase	RXN-13054
6.3.2.39	aerobactin synthase	RXN-13056
3.13.1.-	2,3-dihydroxybenzoyl-L-cysteine cyclase	RXN-19496
1.14.13.M65	1,3-diaminopropane N-monooxygenase	RXN-682
6.3.3.-	desferrioxamine cyclase	RXN-10998
4.2.1.18	methylglutaconyl-CoA hydratase	METHYLGLUTACONYL-COA-HYDRATASE-RXN
3.5.1.-	N-hydroxyornithine acylase	RXN-15950+RXN-16727
1.14.13.195	L-ornithine 5-monooxygenase	RXN-11128
1.14.11.25	2'-deoxymugineic acid,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating)	RXN-7983+RXN-7982
2.3.2.-	N-citryl-spermidine:3,4-dihydroxybenzoate ligase	RXN-10677+RXN-12529+RXN-12528+RXN-18692
1.14.13.M63	putrescine N-hydroxylase	RXN-11006
7.4.2.-	ABC-type myristoylated ferribactin transporter	TRANS-RXN-389
1.14.18.-	ferribactin monooxygenase	RXN-11129
2.3.1.M54	N-(3-aminopropyl)hydroxylamine N-acetyltransferase	RXN-683
2.4.1.369	monoglucosyl-enterobactin C-glucosyltransferase	RXN-20005+RXN-20006
6.3.2.58	D-ornithine--citrate ligase	RXN-19522
6.3.2.57	staphyloferrin A synthase	RXN-19521
2.5.1.140	N-(2-amino-2-carboxyethyl)-L-glutamate synthase	RXN-18395
1.5.1.51	N-[(2S)-2-amino-2-carboxyethyl]-L-glutamate dehydrogenase	RXN-18393
6.3.2.54	L-2,3-diaminopropanoate--citrate ligase	RXN-19820
4.1.1.117	2-[(L-alanin-3-ylcarbamoyl)methyl]-2-hydroxybutanedioate decarboxylase	RXN-19821
6.3.2.55	3-(L-alanin-3-ylcarbamoyl)-2-[(2-aminoethylcarbamoyl)methyl]-2-hydroxypropanoate synthase	RXN-19822
6.3.2.56	staphyloferrin B synthase	RXN-19823
2.5.1.152	D-histidine (S)-2-aminobutanoyltransferase	RXN-19817
1.5.1.52	staphylopine dehydrogenase	RXN-19816
1.13.11.53	acireductone dioxygenase [nickel(II)-requiring]	R146-RXN
4.4.1.4	alliin lyase	RXN-8898+RXN-8916+RXN-16176+RXN-8909
2.1.4.-	desulfo-7-deoxy-cylindrospermopsin	RXN-20450
2.8.2.-	desulfo-7-deoxycylindrospermopsin sulfotransferase	RXN-20449+RXN-11560+RXN-11561+RXN-11562+RXN-11563+RXN-11558
1.14.11.70	7-deoxycylindrospermopsin 7-epi-hydroxylase	RXN-20454+RXN-20448
5.3.99.M1	lachrymatory-factor synthase	RXN-8911
1.14.14.58	TMTT synthase	RXN-8620
2.1.1.255	geranyl diphosphate 2-C-methyltransferase	RXN-12975
4.2.3.118	2-methylisoborneol synthase	RXN-12976
4.2.3.13	(+)-delta-cadinene synthase	4.6.1.11-RXN
4.2.3.16	limonene synthase	4.2.3.16-RXN
4.2.3.120	(-)-beta-pinene synthase	RXN-5107
4.2.3.119	(-)-alpha-pinene synthase	RXN-5106
4.2.3.52	(-)-beta-phellandrene synthase	RXN-5143
4.2.3.107	3-carene synthase	RXN-8565
4.2.3.76	delta-selinene synthase	RXN-8566
4.2.3.57	(E)-beta-caryophyllene synthase	RXN-8414
4.2.3.56	gamma-humulene synthase	RXN-8541
4.2.3.58	longifolene synthase	RXN-8540
4.2.3.38	(E)-alpha-bisabolene synthase	RXN-8550
4.2.3.80	alpha-longipinene synthase	RXN-8572
4.2.3.117	camphene synthase	RXN-5142
2.3.1.156	phlormethylbutanophenone synthase	RXN-18439+RXN-7805+2.3.1.156-RXN
2.5.1.136	phlormethylbutanophenone dimethylallyltransferase	RXN-18442+RXN-7812+RXN-7811
2.5.1.137	4-prenylphlormethylbutanophenone 6-prenyltransferase	RXN-18445+RXN-18450+RXN-7813+RXN-18449+RXN-7810+RXN-18441
4.4.1.26	olivetolic acid cyclase	RXN-13612
1.21.3.8	cannabidiolate synthase	RXN-7855
1.21.3.7	Delta9-tetrahydrocannabinolate synthase	RXN-7854
4.4.1.-	triketide pyrone synthase	RXN-13664+RXN-13666+RXN-13665+RXN-15683
6.2.1.1	isovalerate--CoA ligase	RXN-18446+RXN-18448+ACETATE--COA-LIGASE-RXN
1.13.12.20	norsolorinate anthrone oxidase	RXN-11624
1.1.1.349	norsolorinate ketoreductase	RXN-9480
1.14.14.116	(1'S,5'R)-hydroxyaverantin synthase	RXN-9482+RXN-9481
1.1.1.352	(1'S,5'R)-hydroxyaverantin dehydrogenase	RXN-9484+RXN-9483
1.14.20.11	L-tryptophan isonitrile desaturase/decarboxylase (3-[(Z)-2-isocyanoethenyl]-1H-indole-forming)	RXN-19268
2.5.1.146	3-[(Z)-2-isocyanoethenyl]-1H-indole geranyltransferase	RXN-19272
5.5.1.33	12-epi-fischeindole U synthase	RXN-19282
1.14.20.14	12-epi-fischerindole U chlorinase	RXN-19283
4.1.99.25	L-tryptophan isonitrile synthase	RXN-19264
5.5.1.32	12-epi-hapalindole U synthase	RXN-19273
4.1.1.56	3-oxo-dodecanoate decarboxylase	3-OXOLAURATE-DECARBOXYLASE-RXN+RXN-15283+RXN-11669
2.1.1.M64	TRIMBOA-glucoside 7-O-methyltransferase	RXN-20781
2.1.1.M65	DIM2BOA-glucoside O-methyltransferase	RXN-20782+RXN-7061
1.14.14.117	8-O-methylsterigmatocystin monooxygenase	RXN-9497+RXN-9502
2.1.1.110	dihydrosterigmatocystin O-methyltransferase	RXN-9501+2.1.1.110-RXN
2.5.1.34	4-dimethylallyltryptophan synthase	TRYPTOPHAN-DIMETHYLALLYLTRANSFERASE-RXN
2.1.1.261	dimethylallyltryptophan N-methyltransferase	RXN-11386
1.1.1.332	chanoclavine-I dehydrogenase	RXN-13468
5.3.1.-	5-fluoro-5-deoxy-ribose 1-phosphate isomerase	RXN-11744
2.2.1.8	4-fluorothreonine transaldolase	RXN-11747
4.3.2.-	gamma-glutamylcyclotransferase	RXN-15681
1.8.3.2	3-benzyl-3,6 -dithio-6-(hydroxymethyl)-diketopiperazine oxidase	RXN-15684
5.5.1.31	hapalindole H synthase	RXN-19281
4.1.1.52	6-methylsalicylate decarboxylase	6-METHYLSALICYLATE-DECARBOXYLASE-RXN
1.14.19.61	dihydrorhizobitoxine desaturase	RXN-18802
2.1.1.109	6-demethylsterigmatocystin O-methyltransferase	2.1.1.109-RXN+RXN-9500
3.1.1.-	3-acetyl T-2 toxin C-3 esterase	RXN-17042+RXN-16074+6-HEXANOLIDE-HYDROLYSIS-RXN+RXN-13126+RXN-14899+RXN-11557+RXN-17045+RXN-17053
3.4.11.-	beta-tabtoxin peptidase	RXN-19255+RXN-11200
3.5.4.26	diaminohydroxyphosphoribosylaminopyrimidine deaminase	RIBOFLAVINSYNDEAM-RXN
1.1.1.193	5-amino-6-(5-phosphoribosylamino)uracil reductase	RIBOFLAVINSYNREDUC-RXN
2.1.1.349	1,6-didemethyltoxoflavin N6-methyltransferase	RXN-19530+RXN-19529
3.1.1.94	versiconol acetate esterase	RXN-9493+RXN-9488
4.2.1.143	versiconal cyclase	RXN-9494
3.1.7.8	tuberculosinol synthase	RXN-9459
3.1.2.32	2-aminobenzoylacetyl-CoA thioesterase	RXN-17703
1.14.13.182	2-heptyl-3-hydroxy-4(1H)-quinolone synthase	RXN-11849
1.13.11.M10	2-hydroxyparaconate dioxygenase	RXN-19904
6.2.1.32	anthranilate-coenzyme A ligase	AMINOBENZCOALIG-RXN
4.2.1.119	trans-2-enoyl-CoA hydratase 2	RXN-14276+RXN-7699
1.1.1.M19	3-hydroxyacyl-CoA dehydrogenase	RXN-14275
1.14.99.-	3,5-dimethylorsellinate hydroxylase	RXN-16073+TCCOL-RXN+RXN-7885+RXN-5961
5.4.99.-	preandiloid A synthase	RXN-16083+RXN-12102
1.1.99.-	preandiloid A dehydrogenase	RXN-16084+RXN-16085+RXN-16088+RXN-16092+R221-RXN
1.1.1.M23	2-epi-5-epi-valiolone dehydrogenase	RXN-17364
2.1.1.M22	desmethyl gadusol O-methyltransferase	RXN-17375
4.1.99.20	3-amino-4-hydroxybenzoic acid synthase	RXN-13866
1.10.3.15	grixazone B synthase	RXN-15414+RXN-13868
1.14.19.70	mycocyclosin synthase	RXN-14313
1.5.1.1	1-piperideine-2-carboxylate reductase	RXN-8166
1.14.13.M77	L-pipecolate N-monooxygenase	RXN-21030
1.14.20.9	tyrosine isonitrile desaturase	RXN-19262
3.5.4.16	GTP cyclohydrolase	GTP-CYCLOHYDRO-I-RXN
4.1.2.50	6-carboxy-5,6,7,8-tetrahydropterin synthase	RXN0-5507
4.3.99.3	7-carboxy-7-deazaguanine synthase	RXN0-6575
6.3.4.20	7-cyano-7-deazaguanine synthase	RXN-12093
4.1.1.105	4-hydroxy-L-tryptophan decarboxylase	RXN-19124
1.14.99.59	tryptamine 4-monooxygenase	RXN-19089
2.7.1.222	4-hydroxytryptamine kinase	RXN-19090
1.14.15.13	pulcherriminic acid synthase	RXN-14312
4.2.3.154	desmethyl-4-deoxygadusol synthase	RXN-17372
6.3.4.-	4-deoxygadusol glycyltransferase	RXN-17368
1.14.14.153	indole monooxygenase	RXN-6681
1.14.14.157	indolin-2-one monooxygenase	RXN-6682
1.14.14.109	3-hydroxyindolin-2-one monooxygenase	RXN-6683
1.14.14.110	HBOA monooxygenase	RXN-6684
2.4.1.202	DIBOA 2-D-glucosyltransferase	RXN-7021
1.14.11.59	DIMBOA-glucoside dioxygenase	RXN-6685
2.1.1.241	TRIBOA-glucoside 7-O-methyltransferase	RXN-6687
1.14.11.M27	DIMBOA-beta-D-glucoside oxygenase	RXN-20783
1.21.98.2	N-[2-(carboxylatoamino)-1,2-bis(1H-indol-3-yl)ethyl]carbamate synthase	RXN-18167
1.14.13.224	deoxyviolaceinate synthase	RXN-13344+RXN-13342
1.14.13.217	protoviolaceinate synthase	RXN-13341
1.1.1.36	acetoacetyl-CoA reductase	RXN-5901+RXN-12560
6.3.2.30	cyanophycin primer-L-aspartate:L-arginine ligase	RXN-13440+6.3.2.30-RXN
6.3.2.29	cyanophycin synthase	6.3.2.29-RXN
3.4.15.6	cyanophycinase	3.4.15.6-RXN
1.10.3.9	photosystem II	PSII-RXN
1.97.1.12	photosystem I	RXN-15479
5.4.2.12	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	3PGAREARR-RXN
4.2.1.11	enolase	2PGADEHYDRAT-RXN
2.7.1.40	pyruvate kinase	PEPDEPHOS-RXN
1.2.1.M10	pyruvate dehydrogenase	PYRUVDEH-RXN
2.3.1.dq	poly-beta-hydroxybutyrate polymerase	RXN1-42+RXN-11796
1.3.1.76	precorrin-2 dehydrogenase	DIMETHUROPORDEHYDROG-RXN
4.99.1.4	sirohydrochlorin ferrochelatase	SIROHEME-FERROCHELAT-RXN
1.2.1.70	glutamyl-tRNA reductase	GLUTRNAREDUCT-RXN
5.4.3.8	glutamate-1-semialdehyde 2,1-aminomutase	GSAAMINOTRANS-RXN
4.2.1.24	porphobilinogen synthase	PORPHOBILSYNTH-RXN
2.5.1.61	hydroxymethylbilane synthase	OHMETHYLBILANESYN-RXN
4.2.1.75	uroporphyrinogen-III synthase	UROGENIIISYN-RXN
2.3.1.37	5-aminolevulinate synthase	5-AMINOLEVULINIC-ACID-SYNTHASE-RXN
4.2.1.1	carbonic anhydrase	RXN0-5224
1.2.7.12	formylmethanofuran dehydrogenase	FORMYLMETHANOFURAN-DEHYDROGENASE-RXN
2.3.1.101	formylmethanofuran:H4MPT formyltransferase	2.3.1.101-RXN
3.5.4.27	methenyl-H4MPT cyclohydrolase	3.5.4.27-RXN
1.12.98.2	H2-forming methylene-H4MPT dehydrogenase	H2-METHYLENE-THMPT-DEHYDRO-RXN
1.5.98.2	F420-dependent methylene-H4MPT reductase	METHELENE-THMPT-OXI-RXN
1.2.7.1	pyruvate synthase	PYRUFLAVREDUCT-RXN
6.4.1.1	pyruvate carboxylase	PYRUVATE-CARBOXYLASE-RXN
4.1.1.31	phosphoenolpyruvate carboxylase	PEPCARBOX-RXN
1.2.1.10	acetaldehyde dehydrogenase	ACETALD-DEHYDROG-RXN
1.2.1.3	acetaldehyde dehydrogenase	RXN66-3+RXN66-479+RXN6666-5+R222-RXN+RXN-10912+RXN-10917+RXN-10780+RXN-3443+ALDHDEHYDROG-RXN
2.7.1.30	glycerol kinase	GLYCEROL-KIN-RXN
1.1.5.3	glycerol-3-phosphate dehydrogenase	RXN-15745+RXN0-5260+RXN-15740
2.7.1.29	dihdyroxyacetone kinase	GLYCERONE-KINASE-RXN
4.2.1.30	glycerol dehydratase	GLYCEROL-DEHYDRATASE-RXN
1.1.1.202	1,3-propanediol dehydrogenase	13-PROPANEDIOL-DEHYDROGENASE-RXN
2.7.1.121	dihydroxyacetone kinase	2.7.1.121-RXN
1.1.1.6	glycerol dehydrogenase	GLYCDEH-RXN
4.2.1.28	propanediol dehydratase	PROPANEDIOL-DEHYDRATASE-RXN
1.2.1.87	CoA-dependent propionaldehyde dehydrogenase	RXN-12736+RXN-15729+RXN-15728
2.3.1.222	phosphate propanoyltransferase	PTAALT-RXN
2.7.2.1/2.7.2.15	propionate kinase	PROPKIN-RXN+ACETATEKIN-RXN
1.14.13.22	cyclohexanone monooxygenase	CYCLOHEXANONE-MONOOXYGENASE-RXN
1.1.1.258	6-hydroxyhexanoate dehydrogenase	6-HYDROXYHEXANOATE-OXIDATION-RXN
1.2.1.63	6-oxohexanoate dehydrogenase	6-OXOHEXANOATE-OXIDATION-RXN
1.1.1.77	glycolaldehyde reductase	GLYCOLALDREDUCT-RXN+LACTALDREDUCT-RXN
1.2.1.21	glycolaldehyde dehydrogenase	GLYCOLALD-DEHYDROG-RXN
1.2.1.46	formaldehyde dehydrogenase	FORMALDEHYDE-DEHYDROGENASE-RXN
1.1.1.306	mycothiol-dependent formaldehyde dehydrogenase	1.2.1.66-RXN
1.17.98.e	formate dehydrogenase	RXN0-3281
1.3.1.38	phytenoyl-CoA reductase	RXN66-482
1.1.99.14	glycolate dehydrogenase	GLYCOLATEDEHYDRO-RXN
2.3.3.9	malate synthase G	MALSYN-RXN
4.1.1.47	glyoxylate carboligase	GLYOCARBOLIG-RXN
2.7.1.165	glycerate 2-kinase	GKI-RXN
1.2.1.22	lactaldehyde dehydrogenase	LACTALDDEHYDROG-RXN
4.4.1.5	glyoxalase I	GLYOXI-RXN
3.1.2.6	hydroxyacylglutathione hydrolase	GLYOXII-RXN
1.1.2.3	L-lactate dehydrogenase	L-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN
1.1.2.4	D-lactate dehydrogenase (cytochrome)	D-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN
2.6.1.19	4-aminobutyrate aminotransferase	GABATRANSAM-RXN
1.2.1.24	succinate semialdehyde dehydrogenase (NAD+)	SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
1.2.1.79	succinate semialdehyde dehydrogenase (NADP+)	SUCCSEMIALDDEHYDROG-RXN
1.2.1.16	succinate-semialdehyde dehydrogenase	RXN0-5293
2.6.1.96	gamma aminobutyrate transaminase	RXN-6902
2.8.3.-	4-hydroxybutyrate CoA-transferase	RXN-8889
4.2.1.120	4-hydroxybutyryl-CoA dehydratase	RXN-8890
1.4.1.3	glutamate dehydrogenase	GLUTAMATE-DEHYDROGENASE-NADP+-RXN
4.1.1.15	glutamate decarboxylase	GLUTDECARBOX-RXN
3.5.3.9	allantoate amidohydrolase	ALLANTOATE-DEIMINASE-RXN
3.5.3.26	(S)-ureidoglycine aminohydrolase	URUR-RXN
1.1.1.350	ureidoglycolate dehydrogenase	RXN0-7024
3.5.3.4	allantoicase	ALLANTOICASE-RXN
